MOIS	DATE DE LIVRAISON	TICKET	DETAILS	REPARTITION	HEURE DE TRAVAIL	STATUT	LIVRABLE	INTERVENANT	SEVERITE
OCTOBRE	13/10/2026	Doublons de pages de service	Fusionner les pages de service existant en deux exemplaires, l'une au slug français, l'autre au slug anglais sous le même préfixe : garantie, SAV, photos clients, Belgique, ozone. Fini quand : une seule URL par service répond 200, le doublon répond 301, et les liens internes pointent vers la page conservée.	EOLEAF	2.0	A FAIRE	Doublons pages service Eoleaf|https://docs.google.com/spreadsheets/d/1tpgQ9FPnXUAZMuWnQZB57l_3WAbOUC9ISUbq_IfFVxY/edit	Eoleaf	crawl
OCTOBRE	20/10/2026	Vitesse par gabarit	Relever Lighthouse mobile sur un exemplaire de chacun des 6 gabarits : accueil, collection, fiche produit, page métier, question, géo. Aucune mesure de vitesse n'existe à ce jour dans le dossier. Fini quand : LCP, INP et CLS relevés et datés pour les 6 gabarits, et un ticket ouvert par gabarit hors seuil.	SEO MONKEY	2.0	A FAIRE	Vitesse par gabarit Eoleaf|https://docs.google.com/spreadsheets/d/1QFxHJEqA3_U7PFg_Uk8LAHcUIhfHMoybX7s1n66SvAs/edit	Nicolas	freine
OCTOBRE	27/10/2026	JSON-LD hors fiche produit	Écrire et intégrer le balisage de données structurées pour l'accueil (Organization, WebSite), la catégorie (CollectionPage, ItemList), les pages métier (Article, Person) et la FAQ (FAQPage). Périmètre réduit par le contrôle Search Console du 04/09 : la fiche produit porte déjà Product, Offer et AggregateRating, verdict PASS, avec extraits de produit, fiche de marchand et extraits d'avis détectés. Réserve : l'inspection d'URL ne remonte que les types éligibles aux résultats enrichis, l'absence de BreadcrumbList reste à confirmer dans le code des gabarits. Fini quand : le test des résultats enrichis ne remonte aucune erreur sur les quatre gabarits restants.	SEO MONKEY + EOLEAF	3.0	A FAIRE	JSON-LD par gabarit Eoleaf|https://docs.google.com/spreadsheets/d/1sRODCSAIrNeRLF8Hq6r5Vmflq2jNSXjzzoMZYX2WRo8/edit	Nicolas / Eoleaf	freine
OCTOBRE	27/10/2026	Sitemap contre pages réelles	Confronter le sitemap aux pages du re-crawl : indexables absentes du sitemap, et URL déclarées qui ne répondent pas 200. Vérifier aussi la couverture des 12 langues et la déclaration dans robots.txt. Fini quand : chaque URL du sitemap répond 200 et est canonique, et chaque page indexable y figure.	SEO MONKEY	2.0	A FAIRE	Sitemap contre pages Eoleaf|https://docs.google.com/spreadsheets/d/1RMWs2FaTOHIcXs-frPj4xF-mshvxdZOUMCwOwZFjIM4/edit	Nicolas	crawl
NOVEMBRE	03/11/2026	Robots.txt et URL à paramètres	Fermer au crawl la recherche interne, le panier, /apps/ et les URL en ?q=, ?srsltid=, ?redirected=. Ces URL consomment du budget de crawl sans rien rapporter. La pagination de collection, elle, reste ouverte. Fini quand : robots.txt.liquid à jour, sitemap déclaré dedans, et ces URL absentes du crawl suivant.	SEO MONKEY + EOLEAF	1.0	A FAIRE	Robots et parametres Eoleaf|https://docs.google.com/spreadsheets/d/1oggu_W80Xm-SyQFoyOxGFYEndqvmYiSMBZCJs3GVmqQ/edit	Nicolas / Eoleaf	crawl
NOVEMBRE	03/11/2026	Liens sortants rompus	Remplacer les sources citées qui ne répondent plus, pages FR à impressions d'abord. Environ 200 liens sortants en échec : 404 en majorité, 22 en 410, 12 en 503, et une cinquantaine d'URL invalides saisies dans le contenu. Chaque erreur étant répliquée sur 12 langues, une correction en français se propage. Fini quand : zéro lien sortant en erreur sur les pages FR à impressions, chaque source morte remplacée par une source vivante équivalente.	SEO MONKEY + EOLEAF	3.0	A FAIRE	Liens sortants a remplacer Eoleaf|https://docs.google.com/spreadsheets/d/13rEU2zMOXDBtBzwUjTdmn7_Q6JqiLZnW1IZKj82nd5w/edit	Jordan / Eoleaf	freine
NOVEMBRE	10/11/2026	Plan de maillage interne	Construire la carte des silos et le plan de liens ligne à ligne, à partir du cocon sémantique XMind. Volet jamais produit : la quarantaine de pages métier n'est pas câblée vers les fiches produit. Vérifier les liens déjà posés avant de proposer quoi que ce soit. Fini quand : carte XMind livrée, et plan portant pour chaque lien la source, la destination, l'ancre en exact match et la mention « déjà posé ».	SEO MONKEY	6.0	A FAIRE	Plan de maillage Eoleaf|https://docs.google.com/spreadsheets/d/1mXYafC-aJlmM8Mph3TIvJIHo2SM8Vfsd4b0v5jJSY0g/edit	Nicolas	freine
NOVEMBRE	10/11/2026	Profondeur et pages orphelines	Sortir la distribution des pages par niveau de clic, la liste des pages d'achat au-delà du niveau 3, et les orphelines croisées avec les impressions. L'onglet « Pages orphelines » est resté vide depuis le début. Fini quand : aucune page d'achat au-delà du niveau 3, et chaque orpheline reçoit un lien interne ou est fusionnée.	SEO MONKEY	3.0	A FAIRE	Profondeur et orphelines Eoleaf|https://docs.google.com/spreadsheets/d/1CYMTMD5UYeEz0X0_5aqIadVJUYGchMSwcTaf0NoV7_E/edit	Nicolas	freine
NOVEMBRE	17/11/2026	Couche géo : 4 pages villes	Trancher le statut de la couche géo, puis aligner les 4 pages ville sur un gabarit commun et les câbler au pilier professionnel. Lyon est en position 6 et Paris en 18 : la couche produit déjà du trafic sans être structurée. Deux slugs portent une phrase entière, dont une faute de frappe. Fini quand : les 4 pages partagent le même gabarit, portent un lien vers l'unité d'achat, et les slugs fautifs sont corrigés avec 301.	SEO MONKEY	3.0	A FAIRE	Pages geo villes Eoleaf|https://docs.google.com/spreadsheets/d/1XGesA1Kf8IRRNWSMuvSs4JHyIjSipNuv0MOpWM-y0sk/edit	Jordan	freine
NOVEMBRE	24/11/2026	13 comparatifs concurrents	Aligner les pages comparatives sur un gabarit commun : tableau chiffré, preuve vérifiable, mention honnête d'un point où le concurrent est meilleur, et lien vers la fiche produit. Ce sont des pages à forte intention d'achat. Levoit est en position 20 sur 390 de volume, « dyson chauffant » en 9 sur 1900. Fini quand : chaque comparatif porte les 4 modules et un lien vers la fiche du modèle Eoleaf comparé.	SEO MONKEY	4.0	A FAIRE	Comparatifs concurrents Eoleaf|https://docs.google.com/spreadsheets/d/1-gqb1QzLV9mQQ1b6eVQEhVUUQTf1goEwmq-ulGvcB_Y/edit	Jordan	freine
NOVEMBRE	24/11/2026	Maquettes SXO par étage	Produire une maquette par étage de l'arbre : hub de silo, collection, fiche produit, page question. À la charte Eoleaf, avec les sections de preuve et les liens du plan de maillage posés au bon endroit. Fini quand : une maquette HTML par étage, reprenant le contenu réel de la page capturée, et respectant le plan de maillage.	SEO MONKEY	8.0	A FAIRE		Nicolas	freine
