CLUSTER,REQUETE PRINCIPALE,VOLUME,URL,POSITION CONNUE,ROLE PROPOSE,DECISION,STATUT
Dentaire,purificateur d'air dentiste,non relevé,/fr/pages/acheter-un-purificateur-dair-pour-les-dentistes-purificateurs-dair-dentaires,non relevée,Doublon d'intention,Fusionner dans le pilier puis 301,A FAIRE
Dentaire,purificateur d'air dentiste,non relevé,/fr/pages/acheter-un-purificateur-dair-pour-cabinets-de-dentistes-assainisseurs-dair-dentaires,non relevée,Troisième page sur la même intention,Fusionner dans le pilier puis 301,A FAIRE
Salon de coiffure,purificateur d'air salon de coiffure,non relevé,/fr/pages/acheter-un-purificateur-dair-pour-salon-de-coiffure,non relevée,PILIER de cluster,Conserver,A FAIRE
Salon de coiffure,purificateur d'air salon de coiffure,non relevé,/fr/pages/acheter-un-purificateur-dair-pour-les-salons-de-coiffure,non relevée,Doublon au pluriel,Fusionner dans le pilier puis 301,A FAIRE
Poussière et acariens,purificateur d'air poussière,590,/fr/pages/acheter-un-purificateur-dair-pour-la-poussiere,10,PILIER de cluster,Conserver,A FAIRE
Poussière et acariens,purificateur d'air acariens,non relevé,/fr/pages/acheter-un-purificateur-dair-pour-les-acariens,non relevée,Doublon d'intention,Fusionner dans le pilier puis 301,A FAIRE
Poussière et acariens,acariens de poussière,170,/fr/pages/comment-utiliser-les-purificateurs-dair-pour-lutter-contre-les-allergies-a-la-poussiere-e-aux-acariens,19,Question satellite : conserver mais slug fautif (« e-aux »),"Conserver, corriger le slug avec 301",A FAIRE
Professionnel et industriel,purificateur d'air professionnel,590,/fr/collections/purificateurs-air,4,Catégorie : porte d'entrée commerciale,Conserver,A FAIRE
Professionnel et industriel,purificateur professionnel,210,/fr/pages/acheter-un-purificateur-dair-professionnel,4,PILIER éditorial du cluster,Conserver et lier vers la catégorie,A FAIRE
Professionnel et industriel,purificateur d'air industriel,260,/fr/pages/acheter-un-purificateur-dair-industriel,12,Intention distincte : conserver,Conserver et lier vers le pilier,A FAIRE
Professionnel et industriel,grand espace,non relevé,/fr/pages/acheter-un-purificateur-dair-commercial-pour-un-grand-espace,non relevée,Doublon d'intention avec industriel,Fusionner puis 301,A FAIRE
Professionnel et industriel,professionnels,non relevé,/fr/pages/professionnels,non relevée,Page institutionnelle B2B : rôle à clarifier,"Conserver, H1 à poser, lier vers le pilier",A FAIRE
HEPA,purificateur d'air hepa,880,/fr/pages/acheter-un-purificateur-dair-hepa,5,PILIER commercial du cluster,Conserver,A FAIRE
HEPA,filtre hepa,2900,/fr/pages/comment-fonctionnent-les-filtres-hepa,6,Question pilier : conserver,Conserver et lier vers le pilier commercial,A FAIRE
HEPA,purificateur d air hepa,880,/fr/,19,L'accueil est planifié sur la même requête que le pilier,Retirer cette cible de l'accueil : elle appartient au pilier,A FAIRE
Charbon actif,purificateur d'air charbon actif,170,/fr/pages/acheter-un-purificateur-dair-au-charbon,4,PILIER commercial du cluster,Conserver,A FAIRE
Charbon actif,filtration par charbon actif,110,/fr/pages/quest-ce-que-la-filtration-au-charbon-actif,15,Question pilier : conserver,Conserver et lier vers le pilier,A FAIRE
Charbon actif,charbon actif filtration air,non relevé,/fr/pages/le-charbon-actif-et-son-role-dans-la-filtration-de-lair,non relevée,Doublon de la question pilier,Fusionner puis 301,A FAIRE
Ozone,générateur d'ozone,480,/fr/pages/purificateurs-dair-a-lozone-et-generateurs-dozone-ce-quil-faut-savoir,4,PILIER de cluster,Conserver,A FAIRE
Ozone,générateur d'ozone,480,/fr/pages/purificateurs-et-generateurs-a-lozone-ce-quil-faut-savoir,non relevée,"Doublon quasi identique : deux slugs, un sujet",Fusionner puis 301,A FAIRE
Ionisation,ionisation de l'air,480,/fr/pages/tout-savoir-sur-lionisation,8,PILIER de cluster,Conserver,A FAIRE
Ionisation,ioniseur d'air,1900,/fr/pages/ioniseurs-a-quoi-servent-ils,8,Intention distincte : conserver,Conserver et lier vers le pilier,A FAIRE
Ionisation,ion s,260,/fr/pages/les-ions-negatifs-et-leurs-bienfaits-pour-notre-sante,11,Question satellite : conserver,Conserver et lier vers le pilier,A FAIRE
Choix du purificateur,meilleur purificateur air,320,/fr/pages/choisir-le-meilleur-purificateur-dair-pour-100-m2,5,Intention surface : conserver,Conserver,A FAIRE
Choix du purificateur,comment choisir un purificateur d'air,non relevé,/fr/pages/guide-dachat-comment-choisir-un-purificateur-dair,non relevée,PILIER de cluster : le guide d'achat,Conserver,A FAIRE
Choix du purificateur,comment choisir le meilleur purificateur,non relevé,/fr/pages/comment-choisir-le-meilleur-purificateur-dair,non relevée,Doublon du guide d'achat,Fusionner dans le guide puis 301,A FAIRE
Choix du purificateur,plus grand est-il meilleur,non relevé,/fr/pages/un-purificateur-dair-plus-grand-est-il-forcement-meilleur,non relevée,Question satellite : conserver,Conserver et lier vers le guide,A FAIRE
Vapotage,purificateur d'air vapotage,non relevé,/fr/pages/acheter-un-purificateur-dair-contre-le-vapotage,non relevée,PILIER de cluster,Conserver,A FAIRE
Vapotage,risques du vapotage passif,non relevé,/fr/pages/les-risques-du-vapotage-et-du-vapotage-passif,non relevée,Question satellite : conserver,Conserver et lier vers le pilier,A FAIRE
,,,,,,,
REGLE APPLIQUEE,Une page en top 3 ne se touche pas : à vérifier au contrôle GSC du ticket 01 avant toute fusion,,,,,,
,"Une fusion se fait dans ce sens : le contenu utile remonte dans le pilier, PUIS la 301 est posée",,,,,,
